,minimum,maximum
IDP_m,0.0,2500.1394170579124
ATAM_c,0.0,2500.543251173767
GLTS_c,0.0,0.16147104852339203
GLNA_h,0.0,4000.23229420971
GLNA_m,0.0,4000.2322942097167
FACOAL_181_9Z_c,0.0,0.16147104850837166
ACS_c,0.0,0.7563032516608805
UTAL_h,0.0,-4.7317162577908194e-27
UTAL_c,0.0,-1.6829403098718777e-28
ASPTA_L_h,-0.08073552425665072,0.0
ASPTA_L_m,-10000.0,10000.0
ASPTA_L_c,-10000.0,10000.0
FACOAL_160_m,0.0,-6.520745080795873e-17
FACOAL_160_c,0.0,0.16147104852245106
SAL_m,-10000.0,1667.4275247783228
ALATA_L_c,-0.057668231616939174,10000.0
GLYK_c,0.0,0.05382368283371395
MDH_m,-10000.0,10000.0
ME1_c,0.0,3334.0269118414767
PGI_h,-0.16147104851112837,0.16147104852677285
PGI_c,-0.32294209702324767,0.6614710485127179
AMPD_c,0.0,0.1614710485219215
FACOAL_180_c,-1.532630101290936e-17,0.16147104852743369
FTHDF_c,0.0,0.2018388106757939
FTHFL_c,0.0,0.1614710485054368
ASNS_c,0.0,0.16147104860171124
CISY_m,0.0,1.1920187793783807
G3PDH_c,0.0,-4.0830789193758856e-13
TPI_h,-1.5825858692678362e-13,0.16147104854222294
TPI_m,0.0,8.659177519292105e-12
TPI_c,-0.6614710485065832,0.2563032516931085
DGOTO_c,0.0,-3.7815622785869143e-13
PGM_h,-0.07814543477458924,0.0
PGM_x,-10000.000000000002,10000.0
PGM_c,-10000.0,10000.0
PYC_h,0.0,0.08073552431368629
MAT_x,0.0,0.053823682859154634
GHMT_m,-0.061060480529085644,0.15378195101199127
GHMT_c,-0.20760563380446317,0.0
PEPC_m,0.0,5001.028834115795
PYK_c,0.0,0.7563032517815875
AGPOP_c,0.0,0.1614710485607992
GTPOP_c,0.0,0.16147104854128164
PPDK_c,0.0,0.7563032515632971
PEPCK_m,0.0,5000.278834115771
DAOTO_c,0.0,-5.861383236900022e-14
DAPOP_c,0.0,0.16147104855396258
DHFR1_c,0.0,-7.759169650480777e-14
DHFR2_c,0.0,-7.759169650480686e-14
AGAT_m,0.0,-4.220228984714233e-13
MALS_x,0.0,-4.2202289847142285e-13
