,minimum,maximum
IDP_m,0.0,2499.999999999986
ATAM_c,0.0,2500.0000000000073
GLTS_c,0.0,1.110210548505548e-11
GLNA_h,0.0,4000.000000000005
GLNA_m,0.0,4000.0000000000073
FACOAL_181_9Z_c,0.0,1.3482430527657188e-11
ACS_c,0.0,1.4095909248795485e-11
UTAL_h,0.0,1.6977370241874138e-11
UTAL_c,0.0,8.745396286176753e-12
ASPTA_L_h,0.0,1.1058855974951348e-11
ASPTA_L_m,-10000.0,10000.0
ASPTA_L_c,-10000.0,10000.0
FACOAL_160_m,0.0,1.437853204356102e-12
FACOAL_160_c,0.0,9.332191797741828e-13
SAL_m,-10000.0,1666.6666666666738
ALATA_L_c,-1.5463747994193347e-12,10000.000000000027
GLYK_c,0.0,1.4245731981921133e-12
MDH_m,-10000.0,10000.0
ME1_c,0.0,3333.333333333338
PGI_h,-4.5142233964010956e-12,-5.942988958557571e-13
PGI_c,-4.0545015737362423e-11,1.7710144164602155e-11
AMPD_c,0.0,5.5634050319004965e-12
FACOAL_180_c,0.0,3.9572683151124307e-13
FTHDF_c,0.0,2.9404424361519394e-11
FTHFL_c,0.0,5.209947123312123e-11
ASNS_c,0.0,2.6124173323169033e-11
CISY_m,0.0,2.0767250805625057e-11
G3PDH_c,0.0,4.464395401899768e-13
TPI_h,-2.776077384913073e-13,2.5147739247443505e-11
TPI_m,0.0,5.358791495836592e-12
TPI_c,-4.658919269493895e-12,-3.9861545982994504e-11
DGOTO_c,0.0,5.3042244792735765e-12
PGM_h,-5.3692492297760055e-12,0.0
PGM_x,-10000.000000000002,10000.0
PGM_c,-10000.0,10000.0
PYC_h,0.0,1.4314980725751943e-11
MAT_x,0.0,1.3183561279181026e-11
GHMT_m,7.726706740425424e-12,2.7140269542861895e-11
GHMT_c,2.059046212286914e-10,-9.807764453645961e-13
PEPC_m,0.0,5000.000000000015
PYK_c,0.0,4.2931732092202106e-11
AGPOP_c,0.0,1.0537892316236681e-11
GTPOP_c,0.0,1.8040550815044824e-11
PPDK_c,0.0,2.6936075895231516e-11
PEPCK_m,0.0,5000.000000000031
DAOTO_c,0.0,7.154688921901324e-12
DAPOP_c,0.0,1.521661670939235e-11
DHFR1_c,0.0,7.301444475819605e-12
DHFR2_c,0.0,9.10601056812639e-12
AGAT_m,0.0,2.632741816964807e-12
MALS_x,0.0,2.236546075154661e-12
FACOAL_182_9Z12Z_c,0.0,-4.152879636215766e-12
PDH_E3_h,-8.816106375038058e-27,2.7060345702566335e-11
PDH_E3_m,0.0,4.290383477690056e-11
PYDXK_h,0.0,1.9001568743960278e-11
RPDPK_m,0.0,1.4202540170171535e-11
GMPS_c,0.0,2.9615087180147166e-12
GMPS_GLU_c,0.0,5.442537978484302e-13
IMPD_c,0.0,5.22391636784718e-12
PDH_E1a_h,0.0,6.441834971045419e-11
TAL_m,0.0,5.1947007566797865e-11
ADH_c,-1.0477032215525353e-27,6.254403702916359e-12
THRA_m,-10000.0,10000.0
