,minimum,maximum
IDP_m,0.0,2500.34405548216
ATAM_c,0.0,2500.9690554821605
GLTS_c,0.0,1.00000000001136
GLNA_h,0.0,4000.566992514314
GLNA_m,0.0,4000.566992514324
FACOAL_181_9Z_c,0.0,0.7500000000065966
ACS_c,0.0,1.500000000006604
UTAL_h,0.0,-1.8302394998060542e-12
UTAL_c,0.0,-4.718006936720289e-28
ASPTA_L_h,-0.4999999999999999,-1.3034172884978094e-16
ASPTA_L_m,-10000.0,10000.0
ASPTA_L_c,-10000.0,10000.0
FACOAL_160_m,0.0,1.2780341516563307e-27
FACOAL_160_c,0.0,0.7500000000036733
SAL_m,-10000.0,1667.6666666666722
ALATA_L_c,-0.6000000000023735,10000.0
GLYK_c,-9.694026200076805e-17,0.3000000000007497
MDH_m,-10000.0,10000.0
ME1_c,0.0,3334.305827095272
PGI_h,-1.0000000000144682,1.0000000000102427
PGI_c,-2.000000000015749,1.5000000000155331
AMPD_c,0.0,1.000000000019241
FACOAL_180_c,-2.3789283201121177e-15,0.7499999999970365
FTHDF_c,0.0,2.7029326287993793
FTHFL_c,0.0,1.00000000003617
ASNS_c,0.0,0.7500000000146185
CISY_m,0.0,2.5000000000994507
G3PDH_c,0.0,-5.906904681066383e-12
TPI_h,-3.3372077248786763e-13,0.9999999999844318
TPI_m,2.1544163285173833e-28,-3.966385112151182e-12
TPI_c,-1.4999999999897096,1.0000000000142597
DGOTO_c,0.0,-8.443855915567654e-13
PGM_h,-0.24599303135674955,0.0
PGM_x,-10000.000000000002,10000.0
PGM_c,-10000.0,10000.0
PYC_h,0.0,0.49999999999988964
MAT_x,0.0,0.33333333334077414
GHMT_m,-0.500000000002692,1.111382650813271
GHMT_c,-2.1682959048680766,1.2386134804001663e-13
PEPC_m,0.0,5001.438110964262
PYK_c,0.0,1.5000000000554623
AGPOP_c,0.0,0.5000000000153046
GTPOP_c,0.0,0.7499999999616704
PPDK_c,0.0,1.500000000058447
PEPCK_m,0.0,5000.6881109643955
DAOTO_c,0.0,-3.2655667179689295e-13
DAPOP_c,0.0,0.7500000000873702
DHFR1_c,0.0,-2.2198971023045034e-13
DHFR2_c,0.0,-2.2176592211671715e-13
AGAT_m,0.0,-1.4216638256266462e-13
MALS_x,0.0,-1.339492162312054e-13
FACOAL_182_9Z12Z_c,0.0,0.7500000000239175
PDH_E3_h,0.0,1.1250000000854805
PDH_E3_m,0.0,1.1250000000182587
PYDXK_h,0.0,1.000000000032827
RPDPK_m,0.0,0.7499999999050527
GMPS_c,0.0,0.04347826086874996
GMPS_GLU_c,0.0,0.041666666667818666
