,minimum,maximum
IDP_m,4.5876765808033855e-05,2555.6135709429163
ATAM_c,0.942236342950428,2566.376040270282
GLTS_c,0.0,55.77090638027516
GLNA_h,0.0,4089.1753276573
GLNA_m,0.0,4038.976206627187
FACOAL_181_9Z_c,0.0,27.89832991797312
ACS_c,0.0,56.5223031191839
UTAL_h,0.0,0.009245647645338704
UTAL_c,0.0,0.00924564764535535
ASPTA_L_h,-27.89161314819191,0.0
ASPTA_L_m,-10000.0,9999.999928675268
ASPTA_L_c,-10000.0,10000.0
FACOAL_160_m,0.0,0.011191977466656355
FACOAL_160_c,0.0017928505994813677,27.887246040315294
SAL_m,-10000.0,1700.1354065562732
ALATA_L_c,-9.543869925771576,10000.0
GLYK_c,0.0009521696954605468,11.163172547966235
MDH_m,-10000.0,10000.0
ME1_c,0.0,3371.043629493537
PGI_h,-58.180866558665414,58.216645759845036
PGI_c,-113.32943353131164,59.59519989245748
AMPD_c,0.0,55.770906379958824
FACOAL_180_c,0.00013806273018496574,27.885591252878296
FTHDF_c,0.0,55.770906380426396
FTHFL_c,0.00016462312244679554,55.81585029780454
ASNS_c,0.0,27.88624005209691
CISY_m,0.13254708183005512,55.90345346258013
G3PDH_c,0.0,18.99904377764509
TPI_h,0.6965183959748168,58.2098030119085
TPI_m,0.0,7.132473289549892e-05
TPI_c,-58.267274607370325,55.04599159542573
DGOTO_c,0.000738611151902568,0.0007386111519359515
PGM_h,-0.7828985330472148,0.0
PGM_x,-10000.0,10000.0
PGM_c,-10000.0,9999.999999999998
PYC_h,0.0,27.885453190106965
MAT_x,0.0,18.712497636294607
GHMT_m,0.009320760598670113,6.174501776188892
GHMT_c,-0.19022049739331237,-0.1454412030419487
PEPC_m,0.0,5054.392148744552
PYK_c,0.0,55.77090637990511
AGPOP_c,0.0,18.590794534267307
GTPOP_c,0.0,28.43097298700698
PPDK_c,0.07155840120185943,55.84246478192366
PEPCK_m,0.0,5048.680723720866
DAOTO_c,0.0009106616303259613,0.000910661630260747
DAPOP_c,0.0,27.885908520949762
DHFR1_c,0.0,0.0009097959392637134
DHFR2_c,0.0,0.000909795939262848
AGAT_m,0.0,6.3286390245175195
MALS_x,0.0,6.328639024647102
FACOAL_182_9Z12Z_c,0.00015952895423463468,27.888043896668986
PDH_E3_h,3.569046635468612e-12,8.748702218679984
PDH_E3_m,0.0,16.73440237800816
PYDXK_h,0.0,55.770906382474244
RPDPK_m,0.0,27.995871001396182
GMPS_c,0.0,0.009162234531797169
GMPS_GLU_c,0.0,0.009162234518110596
IMPD_c,0.009162234533651729,0.009162234520461877
PDH_E1a_h,0.0,8.748702218678115
TAL_m,0.0,6.6029552920214245
ADH_c,0.0,1.4755103007080456e-11
THRA_m,-9999.999999999998,9999.93656301391
THRA_c,-9999.936563013884,10000.0
SUAT_m,0.0,9.55986114560009
SUAT_c,0.0,9.559861145542493
DCDT_c,0.0016485822321199901,0.0016485822325394035
MDUMT_c,0.0009097959391210366,0.0009097959392626027
ATDTM_c,0.0009097959391210366,55.77181617529513
DTMPK_c,0.0,27.885453190136168
CYSS_h,0.0,0.024385799783890532
CYSS_c,0.0,0.024385799789423068
SAHH_c,0.12217925401113955,18.71248138100891
GAPDH_m,-17.77354005309541,54.558355955171486
PGK_h,1.4403118058880673,51.65790862494359
PGK_c,0.0,0.0
ENO_m,-17.773540053064032,1689.7022532437688
ENO_c,0.0,27.885453189741593
DMOR_4_h,0.05906943116650236,7.248500985948864
MG3_c,0.0,0.0
MG2_c,0.0,0.0
DHFOR1_c,-10000.0,9999.999970293782
THFOR1_c,0.0,0.000909795939261821
THFOR2_c,0.0,0.000909795939263805
DHFOR2_c,-10000.0,9999.99997029378
GGPS_h,0.011191977467321508,0.011191977466512692
GGPS_c,0.0,0.0
LDH_m,6.213298900700932e-12,0.0
MI3PS_c,0.0,0.0
DVPCHLDR_h,8.859082885780453e-05,0.0025406295239369424
PYDXNK_h,0.0,55.77090638058618
SDH_m,-13.280679297355249,-0.018484285585912544
PYDXS_c,6.130752979727595e-06,6.130752980023469e-06
UGDH_c,0.0061974162736401885,0.006197416273850802
MTMOHT_m,1.6170545420784894e-05,1.61705453710625e-05
PGLYCP_h,0.0,6.328639025015305
IPPS_h,0.034057230816594536,0.04524920828357857
MTHFO1_c,0.0,0.1445314070980109
MTHFO2_c,0.0,0.14453140709151255
PGDH_c,0.0,18.590302126391588
OCT_m,0.018386874035082885,27.90384006407662
UPP3DC_h,0.0,0.0026295141235561895
UPP3DC_c,0.0,0.0026295141236176833
DVCHLDR_h,-0.0024520386950799794,0.0
FBP_h,0.0,58.18086655899372
FBP_c,0.0,57.49866447155281
FBA_h,-58.18086655912654,2.194340589741264e-16
FBA_c,-55.038681721255145,58.230889130072946
OAT_m,-18.985917073489354,27.885453190052818
FPPS_h,0.011191977467691357,0.011191977466508225
FPPS_c,0.0,0.0
GPPS_h,0.011191977467691358,0.01119197746654064
GPPS_c,0.0,-6.1468542167061075e-15
IDS1_h,0.03357593240307408,0.03357593239962192
IDS2_h,0.0,0.01119197746648204
FACOAL_183_6Z9Z12Z_c,0.002609614868006452,27.89513901615902
MCOATA_m,2.280917566689751e-12,0.07834384226499032
MMSAD_m,0.0,7.187333059130401
NITR_c,0.0,0.876221928665786
GGDR_h,0.002822441004895905,0.002822441004968101
CHRM_c,0.03110515054719524,0.042297128007723124
FCLT_h,0.0,0.0
PYAMK_h,0.0,55.77090637912305
PRK_h,0.7201559029825035,25.82895431228867
TALA_h,-58.18086655761906,0.0
TALA_c,-57.9306711467697,8.614198892183778
SELCYSLY2_c,0.0,18.59030212551009
SELTOR_c,0.0,-1.3306393470653844e-12
SPMS_c,0.0,1.6170543338057102e-05
SCS_m,-13.26219501210815,55.77090638071306
RPE_h,-58.216645758860345,2.539563611021437e-13
TKL1_c,-8.614198892016596,-0.24459942222621842
TKL2_c,-57.93067114789525,8.647422437111926
P5CR_m,0.0,18.98591707530797
P5CR_c,0.0,0.03274543205054814
DAPEP_h,0.0229686755997712,0.03416065306639142
DAHPS_h,0.0,0.046971178065911
DAHPS_c,0.0,0.046971178066400894
BCKDHI_m,0.0,6.582973045107807
BCKDHV_m,-6.872454118208692e-16,7.18733305897
DHQS_h,0.0,0.046971178064583424
DHQS_c,0.0,0.046971178064331
SERPT_c,0.0,0.03523037698779694
KARI_1_h,-6.602955291846437,-0.019982247615706706
KARI_2_h,0.019982247620571204,6.602955291875749
BCKDHL_m,0.0,0.01119197746654071
3OAS181_h,4.900637672900834e-15,0.024437053412361104
3OAS120_h,0.06416563371501165,0.07535761117852675
3OAS120_m,0.0,0.01119197746651099
3OAS100_h,0.0641656337156626,0.07535761117855845
3OAS100_m,0.0,0.011191977466418404
3OAS60_h,0.0641656337074602,0.0753576111786035
3OAS60_m,0.0,0.011191977466536628
3OAS140_h,0.06416563370746024,0.07535761117851046
3OAS140_m,0.0,0.011191977466514078
3OAS80_h,0.0641656337188715,0.07535761117852001
3OAS80_m,0.0,0.011191977466516954
3OAS180_h,0.0018932528968569353,0.02633030630856675
3OAS160_h,0.04318608133728146,0.05437805880224508
3OAS160_m,1.5985633922187917e-12,0.011191977462454468
