,minimum,maximum
IDP_m,5.5770222792311634e-05,2557.5432038348968
ATAM_c,1.145432330388808,2568.321446498496
GLTS_c,0.0,56.770966998081214
GLNA_h,0.0,4092.2679469356876
GLNA_m,0.0,4041.4244350236445
FACOAL_181_9Z_c,0.0,28.401137150330978
ACS_c,0.0,57.50167019381748
UTAL_h,0.0,0.011239498250327766
UTAL_c,0.0,0.01123949825029821
ASPTA_L_h,-28.392971879791236,0.0
ASPTA_L_m,-10000.0,9999.999913293883
ASPTA_L_c,-10000.0,10000.0
FACOAL_160_m,0.0,0.013605559716082781
FACOAL_160_c,0.002179484007034124,28.38766298360296
SAL_m,-10000.0,1701.264573255216
ALATA_L_c,-10.36083479626146,10000.0
GLYK_c,0.0011575078391054682,11.365123668869519
MDH_m,-10000.0,10000.0
ME1_c,0.0,3373.2551905954538
PGI_h,-58.72566739496649,58.769162486404625
PGI_c,-114.54509080419862,60.640000730849295
AMPD_c,0.0,56.770967017924264
FACOAL_180_c,0.00016783635650964346,28.385651345245087
FTHDF_c,0.0,56.770967018563034
FTHFL_c,0.00020012457547344986,56.82560322216984
ASNS_c,0.0,28.386440060771303
CISY_m,0.16113124264104345,56.93209826035417
G3PDH_c,0.0,20.613845949882258
TPI_h,0.026841760508169936,58.76084407889671
TPI_m,0.0,8.67061212648129e-05
TPI_c,-59.6229498271023,55.94976995593218
DGOTO_c,0.0008978947794415084,0.0008978947790661941
PGM_h,-0.9517328617585032,0.0
PGM_x,-10000.0,10000.0
PGM_c,-10000.0,9999.999999999998
PYC_h,0.0,28.385483508703416
MAT_x,0.0,19.072202996316435
GHMT_m,0.01133080956598099,6.473887403536112
GHMT_c,-0.23124209677309737,-0.17680601837520887
PEPC_m,0.0,5057.986714424781
PYK_c,0.0,56.7709670172861
AGPOP_c,0.0,18.92425426884906
GTPOP_c,0.0,29.04318450707627
PPDK_c,0.08699017699731974,56.857957195692904
PEPCK_m,0.0,5051.748526464214
DAOTO_c,0.001107048440066211,0.0011070484397168723
DAPOP_c,0.0,28.386037032868288
DHFR1_c,0.0,0.0011059960599492727
DHFR2_c,0.0,0.001105996059957747
AGAT_m,0.0,6.8659628116566225
MALS_x,0.0,6.86596281170183
FACOAL_182_9Z12Z_c,0.00019393183378971652,28.388632909125075
PDH_E3_h,1.0643271496467929e-11,9.100994512337449
PDH_E3_m,1.0453520122472126e-16,17.274443368369283
PYDXK_h,0.0,56.770967016864695
RPDPK_m,0.0,28.519713239206222
GMPS_c,0.0,0.011138096857173261
GMPS_GLU_c,0.0,0.01113809685470156
IMPD_c,0.011138096848795286,0.011138096839413723
PDH_E1a_h,0.0,9.100994512363332
TAL_m,0.0,7.100143711428088
ADH_c,0.0,-2.443555754669393e-11
THRA_m,-10000.0,9999.922882644718
THRA_c,-9999.922882644703,10000.000000000004
SUAT_m,0.0,10.380274566733842
SUAT_c,0.0,10.380274566768136
DCDT_c,0.0020041037501573036,0.0020041037500862415
MDUMT_c,0.0011059960599895454,0.0011059960599439462
ATDTM_c,0.0011059960599895452,56.77207301234582
DTMPK_c,0.0,28.38548350957736
CYSS_h,0.0,0.029644667923440678
CYSS_c,0.0,0.029644667889364665
SAHH_c,0.14852756287232657,19.072183235266692
GAPDH_m,-19.00818047949071,55.20555936555306
PGK_h,2.7940181130130196e-17,51.251802965599
PGK_c,0.0,0.0
ENO_m,-19.00818047948541,1690.6948134809136
ENO_c,0.0,28.385483507983775
DMOR_4_h,0.07180792452213859,7.469069377405705
MG3_c,0.0,0.0
MG2_c,0.0,0.0
DHFOR1_c,-10000.0,9999.999963887545
THFOR1_c,0.0,0.0011059960599396992
THFOR2_c,0.0,0.0011059960636329994
DHFOR2_c,-10000.0,9999.999963887547
GGPS_h,0.013605559715231093,0.01360555971607034
GGPS_c,0.0,0.0
LDH_m,-1.3267312415647145e-11,0.0
MI3PS_c,0.0,0.0
DVPCHLDR_h,0.00010769569684625257,0.003088523615063747
PYDXNK_h,0.0,56.77096701602186
SDH_m,-13.981999833259575,-0.022470475139376892
PYDXS_c,7.452867558624225e-06,7.452867558340674e-06
UGDH_c,0.00753390698431876,0.0075339069832402435
MTMOHT_m,1.9657771680456072e-05,1.9657770071147465e-05
PGLYCP_h,0.0,6.865962811135043
IPPS_h,0.04140177096172167,0.055007330655412925
MTHFO1_c,0.0,0.17570002222288506
MTHFO2_c,0.0,0.17570002217076738
PGDH_c,0.0,18.95411141024045
OCT_m,0.02235205650109996,28.407835565673434
UPP3DC_h,0.0,0.0031965764351784406
UPP3DC_c,0.0,0.0031965764351578633
DVCHLDR_h,-0.002980827918162276,0.0
FBP_h,0.0,58.72566739499842
FBP_c,0.0,58.725667399400905
FBA_h,-58.72566739055877,0.0
FBA_c,-55.94009903836077,59.57871770952483
OAT_m,-20.597888434637028,28.385483503407276
FPPS_h,0.013605559702746734,0.013605559715807184
FPPS_c,0.0,0.0
GPPS_h,0.013605559702746736,0.013605559715978049
GPPS_c,0.0,-8.070121044786916e-15
IDS1_h,0.04081667910824021,0.04081667914793414
IDS2_h,0.0,0.01360555971590593
FACOAL_183_6Z9Z12Z_c,0.0031723858477689616,28.397258111893922
MCOATA_m,0.0,0.09523891801158356
MMSAD_m,0.0,7.394710410394413
NITR_c,0.0,0.8762219286657862
GGDR_h,0.0034311085560332585,0.0034311085555163356
CHRM_c,0.037813066052037415,0.05141862576479914
FCLT_h,0.0,0.0
PYAMK_h,0.0,56.77096701761847
PRK_h,-7.59324917146628e-14,25.62590148261785
TALA_h,-58.725667397241764,0.0
TALA_c,-58.72013927108045,8.54749528774321
SELCYSLY2_c,0.0,18.923655672066612
SELTOR_c,0.0,2.7118506627168262e-11
SPMS_c,0.0,1.9657770222736087e-05
SCS_m,-13.959529357809611,56.770967014367635
RPE_h,-58.76916248624345,0.0
TKL1_c,-8.547495287575508,0.09264187385745198
TKL2_c,-58.72013927040239,8.587883583342254
P5CR_m,0.0,20.597888434744515
P5CR_c,0.0,0.039807078998937276
DAPEP_h,0.02792193680030893,0.041527496515124614
DAHPS_h,0.0,0.057100648211386676
DAHPS_c,0.0,0.05710064821545772
BCKDHI_m,0.0,7.175144696940506
BCKDHV_m,0.0,7.394710409621496
DHQS_h,0.0,0.05710064820902988
