,minimum,maximum
IDP_m,0.0,2566.5977644912427
ATAM_c,0.020149498006280117,2578.537994124986
GLTS_c,0.0,67.24697239280715
GLNA_h,0.0,4106.5731348108075
GLNA_m,0.0,4048.8511726773595
FACOAL_181_9Z_c,0.0,34.27667475216555
ACS_c,0.0,68.55276888035927
UTAL_h,0.0,0.00020844755056633949
UTAL_c,0.0,0.00020844755038332174
ASPTA_L_h,-33.62362090016245,0.0
ASPTA_L_m,-10000.0,10000.0
ASPTA_L_c,-10000.0,10000.0
FACOAL_160_m,0.0,0.0002523284874017856
FACOAL_160_c,4.042067467917582e-05,34.27616788530637
SAL_m,-10000.0,1708.5712388477598
ALATA_L_c,-13.831489296294523,10000.0
GLYK_c,2.1467121416435997e-05,13.710653698369345
MDH_m,-10000.0,10000.0
ME1_c,0.0,3380.5499765001596
PGI_h,-67.24697239281258,67.24738641974429
PGI_c,-134.4537095393092,68.61045835598452
AMPD_c,0.0,67.24657976068974
FACOAL_180_c,3.1126903176069798e-06,34.27613057731471
FTHDF_c,0.0,67.7076113873961
FTHFL_c,0.0,67.24744828810846
ASNS_c,0.0,34.27614520480888
CISY_m,-1.1179555571627929e-12,70.85947551076265
G3PDH_c,0.0,22.355990249722193
TPI_h,0.0004978068505602498,67.24723214672463
TPI_m,0.0,1.6080503189918956e-06
TPI_c,-68.59203232434308,67.2082455039707
DGOTO_c,1.6652341860046418e-05,1.6652341847744938e-05
PGM_h,-1.5135399653789547,0.0
PGM_x,-9999.999999999998,10000.0
PGM_c,-10000.0,9999.999999999998
PYC_h,0.0,33.62328988023773
MAT_x,0.0,22.417363224342047
GHMT_m,-2.38253013571194,9.9486831321779
GHMT_c,-7.4372488865355,-0.0032790415191989355
PEPC_m,0.0,5067.6013933823915
PYK_c,0.0,68.55225492926627
AGPOP_c,0.0,22.850762744595084
GTPOP_c,0.0,34.31318190107792
PPDK_c,0.0015952771205210838,68.55386824786254
PEPCK_m,0.0,5060.899493560577
DAOTO_c,2.0531302223039245e-05,2.0531302218742494e-05
DAPOP_c,0.0,34.276137730283224
DHFR1_c,0.0,2.0511784858743796e-05
DHFR2_c,0.0,2.0511784805392627e-05
AGAT_m,0.0,7.451898100628934
MALS_x,0.0,7.451898100646058
FACOAL_182_9Z12Z_c,3.5966566106954197e-06,34.276185873328195
PDH_E3_h,0.0,12.289623607769423
