,minimum,maximum
IDP_m,6.46598379443672e-16,2566.722764491317
ATAM_c,0.020149498005831865,2579.0379941249626
GLTS_c,0.0,67.35229755417839
GLNA_h,0.0,4106.773134810848
GLNA_m,0.0,4050.1547441058347
FACOAL_181_9Z_c,0.0,34.57933733284565
ACS_c,0.0,69.1580940414407
UTAL_h,0.0,0.0002084475506713614
UTAL_c,0.0,0.00020844755038332158
ASPTA_L_h,-33.676283480795995,0.0
ASPTA_L_m,-10000.0,10000.0
ASPTA_L_c,-10000.0,10000.0
FACOAL_160_m,0.0,0.0002523284956860463
FACOAL_160_c,4.0420674679159263e-05,34.57886066041103
SAL_m,-10000.0,1709.7367867713863
ALATA_L_c,-14.831489296277343,10000.0
GLYK_c,2.1467121416426995e-05,13.831730808482313
MDH_m,-10000.0,10000.0
ME1_c,0.0,3381.73230117401
PGI_h,-67.35229755401042,67.35277197002398
PGI_c,-134.66435986164763,69.21584390628557
AMPD_c,0.0,67.35196531096341
FACOAL_180_c,3.1126903176057033e-06,34.57882335254118
FTHDF_c,0.0,68.30761138729186
FTHFL_c,0.0,67.35264083224656
ASNS_c,0.0,34.578837979926114
CISY_m,0.0,72.24096619105545
G3PDH_c,0.0,22.35599024971503
TPI_h,0.0004978068505600456,67.35261769733462
TPI_m,0.0,1.6080491153354122e-06
TPI_c,-69.1973574858064,67.31363105393675
DGOTO_c,1.6652341860039594e-05,1.6652342083322968e-05
PGM_h,-1.854699730852851,0.0
PGM_x,-10000.0,10000.0
PGM_c,-10000.0,9999.999999999998
PYC_h,0.0,33.67598265531835
MAT_x,0.0,22.51049946279682
GHMT_m,-2.0804561117195877,10.691737876263193
GHMT_c,-8.593932272347644,-0.003279041519222374
PEPC_m,0.0,5069.799620852632
PYK_c,0.0,69.15764047942602
AGPOP_c,0.0,23.052557928124727
GTPOP_c,0.0,34.61587467631699
PPDK_c,0.0016133183970705647,69.1592537982641
PEPCK_m,0.0,5062.526686543012
DAOTO_c,2.0531302223030826e-05,2.0531302228967703e-05
DAPOP_c,0.0,34.5788305054357
DHFR1_c,0.0,2.0511784649217498e-05
DHFR2_c,0.0,2.051178480539325e-05
AGAT_m,0.0,7.451898100638753
MALS_x,0.0,7.451898100632373
FACOAL_182_9Z12Z_c,3.5966566106939836e-06,34.578878648351775
PDH_E3_h,0.0,13.361052179377616
PDH_E3_m,0.0,22.05854673606956
PYDXK_h,0.0,67.35196531053893
RPDPK_m,0.0,34.58130966216076
GMPS_c,0.0,0.4506030750070345
GMPS_GLU_c,0.0,0.4506030750015224
IMPD_c,0.00020656696185389806,1.1117051544535657
PDH_E1a_h,0.0,13.361052179200914
TAL_m,0.0,9.284221415672448
ADH_c,0.0,5.485126202506586
THRA_m,-10000.0,10000.0
THRA_c,-10000.0,9999.999999999995
SUAT_m,0.0,12.178074506222
SUAT_c,0.0,12.17807450606857
DCDT_c,3.716807531058964e-05,3.716807531058969e-05
MDUMT_c,2.0511784805392562e-05,2.0511784805392593e-05
ATDTM_c,2.0511784805392562e-05,67.35198582237592
DTMPK_c,0.0,34.5788202396998
CYSS_h,0.0,0.9992687933113017
CYSS_c,0.0,0.9992687933113016
SAHH_c,0.0027545897472553062,23.113309137944167
GAPDH_m,-23.588721899660623,66.03900344129647
PGK_h,0.0,58.21878495323819
PGK_c,0.0,0.0
ENO_m,-23.5887218996817,1694.5024285076622
ENO_c,0.0,34.57882023984007
DMOR_4_h,0.0013317485930708184,9.874837382402962
MG3_c,0.0,0.0
MG2_c,0.0,0.0
DHFOR1_c,-10000.0,9999.999999330263
THFOR1_c,0.0,2.0511784811634626e-05
THFOR2_c,0.0,2.0511784805392576e-05
DHFOR2_c,-10000.0,9999.999999330259
GGPS_h,0.0002523284876719339,0.00025232848821040116
GGPS_c,0.0,0.0
LDH_m,-3.656750801566958,0.0
MI3PS_c,0.0,0.0
DVPCHLDR_h,1.997322625843028e-06,5.727970840413206e-05
PYDXNK_h,0.0,67.35196531073572
SDH_m,-17.07827331312979,-0.0004167370636245118
PYDXS_c,1.3822075961694238e-07,1.3822075992602084e-07
UGDH_c,0.00013972371547793275,0.05218076927920856
MTMOHT_m,3.645740229150489e-07,3.645726844455679e-07
PGLYCP_h,0.0,8.767762408458061
IPPS_h,0.000767836565832146,1.8293955658857834
MTHFO1_c,0.0,6.585409972631868
MTHFO2_c,0.0,6.585409972696534
PGDH_c,0.0,25.707717736083872
OCT_m,0.0004145408736007602,34.579234780603606
UPP3DC_h,0.0,5.928365435204422e-05
UPP3DC_c,0.0,5.9283654254652104e-05
DVCHLDR_h,-5.5282385795022045e-05,0.0
FBP_h,0.0,67.35196531097385
FBP_c,0.0,67.35196531088623
FBA_h,-67.35196531075563,0.0
FBA_c,-67.31344442168913,69.19616136873037
