,minimum,maximum
IDP_m,4.587676580813209e-05,2555.6135709429013
ATAM_c,0.9422363429524109,2566.376040270265
GLTS_c,0.0,55.77090638022027
GLNA_h,0.0,4089.1753276575955
GLNA_m,0.0,4038.976206627187
FACOAL_181_9Z_c,0.0,27.898329917974042
ACS_c,0.0,56.52230311914046
UTAL_h,0.0,0.009245647645336962
UTAL_c,0.0,0.00924564764535535
ASPTA_L_h,-27.891613148182998,0.0
ASPTA_L_m,-10000.0,9999.999928675268
ASPTA_L_c,-10000.0,10000.0
FACOAL_160_m,0.0,0.011191977466682409
FACOAL_160_c,0.001792850599485408,27.887246040317468
SAL_m,-10000.0,1700.135406556274
ALATA_L_c,-9.543869925769643,10000.0
GLYK_c,0.0009521696954624645,11.163172547960452
MDH_m,-10000.0,10000.0
ME1_c,0.0,3371.0436294934366
PGI_h,-58.180866558935215,58.216645759814476
PGI_c,-113.32943353131188,59.59519989244748
AMPD_c,0.0,55.770906380303465
FACOAL_180_c,0.00013806273018496574,27.885591252869332
FTHDF_c,0.0,55.77090638040775
FTHFL_c,0.00016462312241993785,55.8158502977861
ASNS_c,0.0,27.886240052088034
CISY_m,0.13254708183024672,55.90345346251194
G3PDH_c,0.0,18.999043777637624
TPI_h,0.6965183959663326,58.209803011895275
TPI_m,0.0,7.132473283152892e-05
TPI_c,-58.267274607329725,55.04599159531039
DGOTO_c,0.0007386111519086633,0.000738611151937172
PGM_h,-0.7828985330470912,0.0
PGM_x,-10000.0,10000.0
PGM_c,-10000.0,9999.999999999998
PYC_h,0.0,27.885453190097508
MAT_x,0.0,18.712497636289925
GHMT_m,0.009320760599082545,6.174501776186348
GHMT_c,-0.19022049739193664,-0.1454412030435612
PEPC_m,0.0,5054.392148744272
PYK_c,0.0,55.77090637988491
AGPOP_c,0.0,18.590794534260578
GTPOP_c,0.0,28.43097298699969
PPDK_c,0.07155840120213776,55.84246478190805
PEPCK_m,0.0,5048.680723720831
DAOTO_c,0.0009106616303296291,0.0009106616302607489
DAPOP_c,0.0,27.885908520940617
DHFR1_c,0.0,0.0009097959392637139
DHFR2_c,0.0,0.000909795939262848
AGAT_m,0.0,6.328639024514906
MALS_x,0.0,6.328639024653447
FACOAL_182_9Z12Z_c,0.00015952895423573265,27.888043896661113
PDH_E3_h,3.794117232189561e-12,8.74870221867861
PDH_E3_m,0.0,16.734402378000574
PYDXK_h,0.0,55.770906382442455
RPDPK_m,0.0,27.99587100138882
GMPS_c,0.0,0.00916223453172501
GMPS_GLU_c,0.0,0.009162234519746227
IMPD_c,0.009162234533702457,0.009162234511295055
PDH_E1a_h,0.0,8.748702218677808
TAL_m,0.0,6.602955292016894
ADH_c,0.0,1.4261427821780722e-11
THRA_m,-9999.999999999998,9999.93656301391
THRA_c,-9999.936563013884,10000.0
SUAT_m,0.0,9.55986114558766
SUAT_c,0.0,9.559861145600351
DCDT_c,0.0016485822321289105,0.0016485822325393897
MDUMT_c,0.0009097959391281815,0.0009097959392626027
ATDTM_c,0.0009097959391281815,55.77181617535183
DTMPK_c,0.0,27.885453190046487
CYSS_h,0.0,0.024385799783867443
CYSS_c,0.0,0.024385799789416605
SAHH_c,0.12217925401209909,18.71248138100829
GAPDH_m,-17.773540053093765,54.558355955119175
PGK_h,1.4403118058901918,51.657908624910434
PGK_c,0.0,0.0
ENO_m,-17.773540053061776,1689.7022532437957
ENO_c,0.0,27.885453189713072
DMOR_4_h,0.05906943116591539,7.2485009859457845
MG3_c,0.0,0.0
MG2_c,0.0,0.0
DHFOR1_c,-10000.0,9999.999970293782
THFOR1_c,0.0,0.000909795939261149
THFOR2_c,0.0,0.000909795939263805
DHFOR2_c,-10000.0,9999.99997029378
GGPS_h,0.011191977467347144,0.011191977466521218
GGPS_c,0.0,0.0
LDH_m,6.717666019268826e-12,0.0
MI3PS_c,0.0,0.0
DVPCHLDR_h,8.859082885780453e-05,0.0025406295239369424
PYDXNK_h,0.0,55.770906380522234
SDH_m,-13.280679297345241,-0.018484285585912544
PYDXS_c,6.130752979785262e-06,6.130752980023472e-06
UGDH_c,0.006197416273698481,0.006197416273845448
MTMOHT_m,1.6170545420936994e-05,1.617054533928222e-05
PGLYCP_h,0.0,6.32863902501318
IPPS_h,0.034057230816914884,0.04524920828358667
MTHFO1_c,0.0,0.14453140709623585
MTHFO2_c,0.0,0.14453140709070306
PGDH_c,0.0,18.59030212626923
OCT_m,0.018386874035259303,27.90384006405017
UPP3DC_h,0.0,0.0026295141235561895
UPP3DC_c,0.0,0.0026295141236176833
DVCHLDR_h,-0.002452038695079435,0.0
FBP_h,0.0,58.18086655897988
FBP_c,0.0,57.49866447154044
FBA_h,-58.18086655912398,1.0971702948706789e-16
FBA_c,-55.03868172072711,58.23088913006108
OAT_m,-18.9859170735041,27.885453190041627
FPPS_h,0.01119197746670197,0.011191977466513127
FPPS_c,0.0,0.0
GPPS_h,0.01119197746670197,0.01119197746654064
GPPS_c,0.0,-6.1468542167061075e-15
IDS1_h,0.03357593240010591,0.03357593239962192
IDS2_h,0.0,0.01119197746648204
FACOAL_183_6Z9Z12Z_c,0.002609614868025088,27.8951390161466
MCOATA_m,2.4904849109970885e-12,0.07834384226499355
MMSAD_m,0.0,7.187333059115407
NITR_c,0.0,0.876221928665786
