,minimum,maximum
IDP_m,5.577022279179934e-05,2557.543203834896
ATAM_c,1.1454323303896166,2568.321446498679
GLTS_c,0.0,56.770966998343596
GLNA_h,0.0,4092.267946935716
GLNA_m,0.0,4041.424435023937
FACOAL_181_9Z_c,0.0,28.40113714826014
ACS_c,0.0,57.50167019381748
UTAL_h,0.0,0.011239498250327834
UTAL_c,0.0,0.01123949825029821
ASPTA_L_h,-28.392971879817015,0.0
ASPTA_L_m,-10000.0,9999.999913293883
ASPTA_L_c,-10000.0,10000.0
FACOAL_160_m,0.0,0.013605559716082781
FACOAL_160_c,0.0021794840072047665,28.38766298360296
SAL_m,-10000.0,1701.2645732552528
ALATA_L_c,-10.360834796269419,10000.0
GLYK_c,0.0011575078391056807,11.365123668869659
MDH_m,-10000.0,10000.0
ME1_c,0.0,3373.2551905954538
PGI_h,-58.72566739500514,58.76916248639735
PGI_c,-114.54509080429888,60.64000073085354
AMPD_c,0.0,56.7709670181069
FACOAL_180_c,0.00016783635650875002,28.385651345245087
FTHDF_c,0.0,56.770967018563034
FTHFL_c,0.00020012457469196506,56.82560322216984
ASNS_c,0.0,28.386440060771303
CISY_m,0.1611312426221011,56.9320982603583
G3PDH_c,0.0,20.613845949882258
TPI_h,0.02684176050818079,58.76084407920083
TPI_m,0.0,8.670612126599251e-05
TPI_c,-59.62294982769245,55.949769955932794
DGOTO_c,0.0008978947794369748,0.0008978947790667229
PGM_h,-0.9517328617585467,0.0
PGM_x,-10000.0,10000.0
PGM_c,-10000.0,9999.999999999998
PYC_h,0.0,28.385483508704596
MAT_x,0.0,19.072202996313088
GHMT_m,0.011330809565695326,6.473887403534372
GHMT_c,-0.23124209679570928,-0.17680601836835078
PEPC_m,0.0,5057.986714424833
PYK_c,0.0,56.7709670171804
AGPOP_c,0.0,18.924254268850884
GTPOP_c,0.0,29.04318450707752
PPDK_c,0.08699017699661415,56.8579571956928
PEPCK_m,0.0,5051.7485264642155
DAOTO_c,0.0011070484400576743,0.0011070484397168777
DAPOP_c,0.0,28.386037032874093
DHFR1_c,0.0,0.0011059960599492655
DHFR2_c,0.0,0.001105996059957747
AGAT_m,0.0,6.865962811658364
MALS_x,0.0,6.8659628117017775
FACOAL_182_9Z12Z_c,0.00019393183378867135,28.388632909124354
PDH_E3_h,1.0396260409201611e-11,9.100994512337104
PDH_E3_m,0.0,17.27444336837038
PYDXK_h,0.0,56.770967016864454
RPDPK_m,0.0,28.519713239206222
GMPS_c,0.0,0.01113809685947816
GMPS_GLU_c,0.0,0.011138096854716565
IMPD_c,0.011138096850847233,0.011138096839522117
PDH_E1a_h,0.0,9.100994512363586
TAL_m,0.0,7.100143711430062
ADH_c,0.0,-2.443555754669393e-11
THRA_m,-10000.0,9999.922882644734
THRA_c,-9999.922882644702,10000.0
SUAT_m,0.0,10.38027456673384
SUAT_c,0.0,10.380274566768136
DCDT_c,0.002004103750146596,0.0020041037500862237
MDUMT_c,0.001105996059983636,0.0011059960599439462
ATDTM_c,0.001105996059983636,56.77207301235161
DTMPK_c,0.0,28.38548350958045
CYSS_h,0.0,0.029644667923572725
CYSS_c,0.0,0.029644667889445968
SAHH_c,0.14852756287153304,19.07218323526751
GAPDH_m,-19.00818047949071,55.20555936555306
PGK_h,4.033593033210208e-17,51.251802965599
PGK_c,0.0,0.0
ENO_m,-19.00818047948549,1690.6948134809788
ENO_c,0.0,28.385483508018094
DMOR_4_h,0.07180792452320692,7.469069377407476
MG3_c,0.0,0.0
MG2_c,0.0,0.0
DHFOR1_c,-10000.0,9999.999963887552
THFOR1_c,0.0,0.0011059960599397018
THFOR2_c,0.0,0.0011059960636329994
DHFOR2_c,-10000.0,9999.999963887547
GGPS_h,0.013605559715231093,0.013605559716068793
GGPS_c,0.0,0.0
LDH_m,-1.3267312415647145e-11,0.0
MI3PS_c,0.0,0.0
DVPCHLDR_h,0.00010769569684625257,0.003088523615063747
PYDXNK_h,0.0,56.770967016044395
SDH_m,-13.981999833228363,-0.022470475139377045
PYDXS_c,7.452867558624225e-06,7.452867558340412e-06
UGDH_c,0.00753390698431876,0.007533906983247757
MTMOHT_m,1.9657771680456072e-05,1.9657770071147465e-05
PGLYCP_h,0.0,6.865962811140217
IPPS_h,0.04140177096172167,0.05500733065541001
MTHFO1_c,0.0,0.17570002216611155
MTHFO2_c,0.0,0.17570002217076738
PGDH_c,0.0,18.95411141023745
OCT_m,0.02235205650109996,28.407835565685883
UPP3DC_h,0.0,0.0031965764351785577
UPP3DC_c,0.0,0.0031965764351578633
DVCHLDR_h,-0.002980827918162276,0.0
FBP_h,0.0,58.72566739501103
