,minimum,maximum
IDP_m,4.58767658079614e-05,2555.6135709429277
ATAM_c,0.9422363429489621,2566.376040270272
GLTS_c,0.0,55.770906380285446
GLNA_h,0.0,4089.1753276573477
GLNA_m,0.0,4038.976206627187
FACOAL_181_9Z_c,0.0,27.898329917941275
ACS_c,0.0,56.52230311921164
UTAL_h,0.0,0.009245647645339196
UTAL_c,0.0,0.00924564764535535
ASPTA_L_h,-27.89161314819624,0.0
ASPTA_L_m,-10000.0,9999.999928675268
ASPTA_L_c,-10000.0,10000.0
FACOAL_160_m,0.0,0.011191977466688484
FACOAL_160_c,0.001792850599478979,27.88724604031532
SAL_m,-10000.0,1700.1354065562973
ALATA_L_c,-9.543869925771576,10000.0
GLYK_c,0.0009521696954591528,11.163172547974893
MDH_m,-10000.0,10000.0
ME1_c,0.0,3371.043629493536
PGI_h,-58.180866559723164,58.21664575985746
PGI_c,-113.3294335313115,59.59519989246332
AMPD_c,0.0,55.77090638032307
FACOAL_180_c,0.00013806273018496574,27.885591252884748
FTHDF_c,0.0,55.770906380435356
FTHFL_c,0.00016462312252065424,55.8158502978146
ASNS_c,0.0,27.886240052098252
CISY_m,0.13254708182967073,55.90345346261768
G3PDH_c,0.0,18.999043777672693
TPI_h,0.696518395957043,58.20980301191929
TPI_m,0.0,7.132473293528158e-05
TPI_c,-58.26727460739549,55.04599159570705
DGOTO_c,0.0007386111518989607,0.0007386111519369785
PGM_h,-0.7828985330472706,0.0
PGM_x,-10000.0,10000.0
PGM_c,-10000.0,9999.999999999998
PYC_h,0.0,27.885453190112827
MAT_x,0.0,18.71249763629773
GHMT_m,0.009320760594049144,6.174501776228664
GHMT_c,-0.19022049739848604,-0.14544120304075356
PEPC_m,0.0,5054.3921487447415
PYK_c,0.0,55.77090637991558
AGPOP_c,0.0,18.590794534270675
GTPOP_c,0.0,28.430972987011703
PPDK_c,0.0715584011979211,55.842464781936435
PEPCK_m,0.0,5048.680723720763
DAOTO_c,0.0009106616302670146,0.000910661630260748
DAPOP_c,0.0,27.885908520955073
DHFR1_c,0.0,0.0009097959392637148
DHFR2_c,0.0,0.000909795939262848
AGAT_m,0.0,6.328639024520413
MALS_x,0.0,6.328639024786099
FACOAL_182_9Z12Z_c,0.0001595289542337595,27.88804389667472
PDH_E3_h,2.651892572897514e-12,8.748702218699494
PDH_E3_m,0.0,16.734402378005747
PYDXK_h,0.0,55.770906382486
RPDPK_m,0.0,27.995871001424202
GMPS_c,0.0,0.009162234531829497
GMPS_GLU_c,0.0,0.009162234520176655
IMPD_c,0.009162234533043703,0.009162234520159273
PDH_E1a_h,0.0,8.748702218681869
TAL_m,0.0,6.60295529201785
ADH_c,0.0,1.9763624195179398e-11
THRA_m,-10000.000000000002,9999.936563013907
